Rank,Artist,Title,Year,,
81,Shirelles,Mama Said,1961,,
82,Fats Domino,Let The Four Winds Blow,1961,,
83,Adam Wade,The Writing On The Wall,1961,,
84,Matt Monroe,My Kind Of Girl,1961,,
85,Paul Anka,"Tonight My Love, Tonight",1961,,
86,Jimmy Dean,Big Bad John,1961,,
87,Bobby Rydell,Good Time Baby,1961,,
88,Floyd Cramer,San Antonio Rose,1961,,
89,Bobby Vee,Rubber Ball,1961,,
90,Ray Peterson,Missing You,1961,,
91,Brenda Lee,Dum Dum,1961,,
92,Eddie Hodges,I'm Gonna Knock On Your Door,1961,,
93,Brenda Lee,You Can Depend On Me,1961,,
94,Chubby Checker,Let's Twist Again,1961,,
95,Dave Brubeck,Take Five,1961,,
96,Elvis Presley,Are You Lonesome Tonight,1961,,
97,Don Gibson,Sea Of Heartbreak,1961,,
98,Four Preps,More Money For You And Me Medley,1961,,
99,Bobby Darin,You Must Have Been A Beautiful Baby,1961,,
100,Drifters,Please Stay,1961,,
1,Mr. Acker Bilk,Stranger On The Shore,1962,,
2,Ray Charles,I Can't Stop Loving You,1962,,
3,Dee Dee Sharp,Mashed Potato Time,1962,,
4,Bobby Vinton,Roses Are Red (My Love),1962,,
5,David Rose,The Stripper,1962,,
6,Shelley Fabares,Johnny Angel,1962,,
7,Little Eva,The Loco-Motion,1962,,
8,Sensations,Let Me In,1962,,
9,Chubby Checker,The Twist,1962,,
10,Shirelles,Soldier Boy,1962,,
11,Bruce Channel,Hey! Baby,1962,,
12,Dion,The Wanderer,1962,,
13,Gene Chandler,Duke Of Earl,1962,,
14,Freddy Cannon,Palisades Park,1962,,
15,Neil Sedaka,Breaking Up Is Hard To Do,1962,,
16,Claude King,Wolverton Mountain,1962,,
17,Chubby Checker,Slow Twistin',1962,,
18,Johnny Tillotson,It Keeps Right On a-Hurtin',1962,,
19,Mary Wells,The One Who Really Loves You,1962,,
20,Elvis Presley,Good Luck Charm,1962,,
21,Kenny Ball,Midnight In Moscow,1962,,
22,Tommy Roe,Sheila,1962,,
23,Sam Cooke,Twistin' The Night Away,1962,,
24,Orlons,Wah-Watusi,1962,,
25,Joey Dee and The Starlighters,Peppermint Twist,1962,,
26,Brenda Lee,Break It To Me Gently,1962,,
27,Marvelettes,Playboy,1962,,
28,Nat King Cole,Ramblin' Rose,1962,,
29,Brian Hyland,Sealed With A Kiss,1962,,
30,Jay and The Americans,She Cried,1962,,
31,Connie Francis,Don't Break The Heart That Loves You,1962,,
32,Gary U.S. Bonds,Dear Lady Twist,1962,,
33,Sue Thompson,Norman,1962,,
34,Ketty Lester,Love Letters,1962,,
35,Claudine Clark,Party Lights,1962,,
36,Highwaymen,Cotton Fields,1962,,
37,Bent Fabric,Alley Cat,1962,,
38,Isley Brothers,Twist And Shout,1962,,
39,Richard Chamberlain,Theme From Dr. Kildare,1962,,
40,Ace Cannon,Tuff,1962,,
41,Clyde Mcphatter,"Lover, Please",1962,,
42,Barbara George,I Know,1962,,
43,Rick Nelson,Young World,1962,,
44,Shirelles,Baby It's You,1962,,
45,Pat Boone,Speedy Gonzales,1962,,
46,Burl Ives,A Little Bitty Tear,1962,,
47,Everly Brothers,Crying In The Rain,1962,,
48,Emillo Pericoli,Al Di La',1962,,
49,Ernie Maresca,Shout! Shout! (Knock Yourself Out),1962,,
50,Don and Juan,What's Your Name,1962,,
51,Corsairs,Smoky Places,1962,,
52,Sam Cooke,Having A Party,1962,,
53,Booker T and The MG's,Green Onions,1962,,
54,Ray Charles,You Don't Know Me,1962,,
55,Four Seasons,Sherry,1962,,
56,Joanie Sommers,Johnny Get Angry,1962,,
57,Elvis Presley,Can't Help Falling In Love,1962,,
58,Joey Dee,Shout,1962,,
59,"Dave ""Baby"" Cortez",Rinky Dink,1962,,
60,Henry Mancini,Moon River,1962,,
61,Ray Stevens,Ahab The Arab,1962,,
62,Bobby Darin,Things,1962,,
63,Gene Pitney,The Man Who Shot Liberty Valance,1962,,
64,Duprees,You Belong To Me,1962,,
65,Roy Orbison,Dream Baby,1962,,
66,Joe Henderson,Snap Your Fingers,1962,,
67,Dion,Lovers Who Wander,1962,,
68,Chris Montez,Let's Dance,1962,,
69,Johnny Crawford,Cindy's Birthday,1962,,
70,Mary Wells,You Beat Me To The Punch,1962,,
71,Barbara Lynn,You'll Lose A Good Thing,1962,,
72,Crystals,Uptown,1962,,
73,Brenda Lee,Everybody Loves Me But You,1962,,
74,Dickie Lee,Patches,1962,,
75,Jimmy Clanton,Venus In Blue Jeans,1962,,
76,Paul Anka,Love Me Warm And Tender,1962,,
77,Rick Nelson,Teen Age Idol,1962,,
78,Patsy Cline,She's Got You,1962,,
79,Larry Finnegan,Dear One,1962,,
80,James Darren,Her Royal Majesty,1962,,
81,Walter Brennan,Old Rivers,1962,,
82,Burl Ives,Funny Way Of Laughin',1962,,
83,Billy Vaughn,A Swingin' Safari,1962,,
84,Dick and Deedee,Tell Me,1962,,
85,Jimmy Dean,P.T. 109,1962,,
86,Dion,Little Diane,1962,,
87,Billy Joe and The Checkmates,Percolator (Twist),1962,,
88,Gary U.S. Bonds,"Twist, Twist Senora",1962,,
89,Jimmy Soul,Twistin' Matilda,1962,,
90,Dee Dee Sharp,Gravy,1962,,
91,Jimmy Smith,Walk On The Wild Side,1962,,
92,King Curtis,Soul Twist,1962,,
93,Bobby Rydell,I'll Never Dance Again,1962,,
94,Ikettes,I'm Blue,1962,,
95,Kingston Trio,Where Have All The Flowers Gone,1962,,
96,Eddie Hodges,"(Girls, Girls, Girls) Were Made To Love",1962,,
97,Gene Pitney,Town Without Pity,1962,,
98,"Peter, Paul and Mary",If I Had A Hammer,1962,,
99,Ronnie and The Hi-lites,I Wish That We Were Married,1962,,
100,Beach Boys,Surfin' Safari,1962,,
1,Jimmy Gilmer and The Fireballs,Sugar Shack,1963,,
2,Beach Boys,Surfin' U.S.A.,1963,,
3,Skeeter Davis,The End Of The World,1963,,
4,Cascades,Rhythm Of The Rain,1963,,
5,Chiffons,He's So Fine,1963,,
6,Bobby Vinton,Blue Velvet,1963,,
7,Paul and Paula,Hey Paula,1963,,
8,Little Stevie Wonder,Fingertips II,1963,,
9,Village Stompers,Washington Square,1963,,
10,Impressions,It's All Right,1963,,
11,Andy Williams,Can't Get Used To Losing You,1963,,
12,Angels,My Boyfriend's Back,1963,,
13,Kyu Sakamoto,Sukiyaki,1963,,
14,Lesley Gore,She's A Fool,1963,,
15,Tymes,So Much In Love,1963,,
16,"Peter, Paul and Mary",Puff (The Magic Dragon),1963,,
17,"Peter, Paul and Mary",Blowin' In The Wind,1963,,
18,Dale and Grace,I'm Leaving It Up To You,1963,,
19,Nino Tempo and April Stevens,Deep Purple,1963,,
20,Surfaris,Wipe Out,1963,,
21,Al Martino,I Love You Because,1963,,
22,Rebels,Wild Weekend,1963,,
23,Bobby Darin,You're The Reason I'm Living,1963,,
24,Four Seasons,Walk Like A Man,1963,,
25,Inez Foxx,Mockingbird,1963,,
26,Little Peggy March,I Will Follow Him,1963,,
27,Chantays,Pipeline,1963,,
28,Jan and Dean,Surf City,1963,,
29,Lesley Gore,It's My Party,1963,,
30,Eydie Gorme,Blame It On The Bossa Nova,1963,,
31,Dovells,You Can't Sit Down,1963,,
32,Martha and The Vandellas,Heat Wave,1963,,
33,Randy and The Rainbows,Denise,1963,,
34,Rooftop Singers,Walk Right In,1963,,
35,Jimmy Soul,If You Wanna Be Happy,1963,,
36,Beach Boys,Surfer Girl,1963,,
37,Trini Lopez,If I Had A Hammer,1963,,
38,Tommy Roe,Everybody,1963,,
39,Essex,Easier Said Than Done,1963,,
40,Dion,Ruby Baby,1963,,
41,Los Indios Tabajaras,Maria Elena,1963,,
42,Ruby and The Romantics,Our Day Will Come,1963,,
43,Skeeter Davis,I Can't Stay Mad At You,1963,,
44,Barbara Lewis,"Hello, Stranger",1963,,
45,Ronettes,Be My Baby,1963,,
46,Roy Orbison,Mean Woman Blues,1963,,
47,Orlons,South Street,1963,,
48,Henry Mancini,Days Of Wine And Roses,1963,,
49,Major Lance,The Monkey Time,1963,,
50,Four Seasons,Candy Girl,1963,,
51,Bill Anderson,Still,1963,,
52,Bobby Vinton,Blue On Blue,1963,,
53,Garnet Mimms and The Enchanters,Cry Baby,1963,,
54,Lou Christie,Two Faces Have I,1963,,
55,Ray Charles,Busted,1963,,
56,Crystals,Da Doo Ron Ron,1963,,
57,Shirelles,Foolish Little Girl,1963,,
58,Lonnie Mack,Memphis,1963,,
59,Roy Orbison,In Dreams,1963,,
60,Kai Winding,More,1963,,
61,Rick Nelson,Fools Rush In,1963,,
62,Brenda Lee,Losing You,1963,,
63,Bill Pursell,Our Winter Love,1963,,
64,Tony Bennett,I Wanna Be Around,1963,,
65,Miracles,You've Really Got A Hold On Me,1963,,
66,Jaynetts,Sally Go 'Round The Roses,1963,,
67,Sam Cooke,Little Red Rooster,1963,,
68,Crystals,Then He Kissed Me,1963,,
69,Elvis Presley,(You're The) Devil In Disguise,1963,,
70,Nat King Cole,Those Lazy Hazy Crazy Days Of Summer,1963,,
71,Jackie Wilson,Baby Workout,1963,,
72,Marvin Gaye,Pride And Joy,1963,,
73,Rufus Thomas,Walking The Dog,1963,,
74,Ned Miller,From A Jack To A King,1963,,
75,Drifters,Up On The Roof,1963,,
76,Johnny Mathis,What Will My Mary Say,1963,,
77,Jan Bradley,Mama Didn't Lie,1963,,
78,Bobby Vee,The Night Has A Thousand Eyes,1963,,
79,Cookies,Don't Say Nothin' Bad About My Baby,1963,,
80,Johnny Cash,Ring Of Fire,1963,,
81,Doris Troy,Just One Look,1963,,
82,Allan Sherman,"Hello Muddah, Hello Fadduh! (A Letter From Camp)",1963,,
83,Lesley Gore,Judy's Turn To Cry,1963,,
84,Rolf Harris,"Tie Me Kangaroo Down, Sport",1963,,
85,Miracles,Mickey's Monkey,1963,,
86,Dion,"Donna, The Prima Donna",1963,,
87,Nat King Cole,"That Sunday, That Summer",1963,,
88,Sam Cooke,Another Saturday Night,1963,,
89,Al Martino,"Painted, Tainted Rose",1963,,
90,Dixiebelles With Cornbread and Jerry,(Down At) Papa Joe's,1963,,
91,Steve Lawrence,Go Away Little Girl,1963,,
92,Ray Charles,Take These Chains From My Heart,1963,,
93,Sunny and The Sunglows,Talk To Me,1963,,
94,Martha and The Vandellas,Come And Get These Memories,1963,,
95,Elvis Presley,Bossa Nova Baby,1963,,
96,Dee Dee Sharp,Do The Bird,1963,,
97,Beach Boys,Shut Down,1963,,
98,Chiffons,One Fine Day,1963,,
99,Bobby Bare,500 Miles Away From Home,1963,,
100,Del Shannon,Little Town Flirt,1963,,
1,Beatles,I Want To Hold Your Hand,1964,,
2,Beatles,She Loves You,1964,,
3,Louis Armstrong,"Hello, Dolly!",1964,,
4,Roy Orbison,"Oh, Pretty Woman",1964,,
5,Beach Boys,I Get Around,1964,,
6,Dean Martin,Everybody Loves Somebody,1964,,
7,Mary Wells,My Guy,1964,,
8,Gale Garnett,We'll Sing In The Sunshine,1964,,
9,J. Frank Wilson and The Cavaliers,Last Kiss,1964,,
10,Supremes,Where Did Our Love Go,1964,,
11,Barbara Streisand,People,1964,,
12,Al Hirt,Java,1964,,
13,Beatles,A Hard Day's Night,1964,,
14,Beatles,Love Me Do,1964,,
15,Manfred Mann,Do Wah Diddy Diddy,1964,,
16,Beatles,Please Please Me,1964,,
17,Martha and The Vandellas,Dancing In The Street,1964,,
18,Billy J. Kramer and The Dakotas,Little Children,1964,,
19,Ray Charles Singers,Love Me With All Your Heart,1964,,
20,Drifters,Under The Boardwalk,1964,,
21,Dixie Cups,Chapel Of Love,1964,,
22,Terry Stafford,Suspicion,1964,,
23,Dave Clark Five,Glad All Over,1964,,
24,Four Seasons,Rag Doll,1964,,
25,Four Seasons,Dawn (Go Away),1964,,
26,Newbeats,Bread And Butter,1964,,
27,Gene Pitney,It Hurts To Be In Love,1964,,
28,Jan and Dean,Dead Man's Curve,1964,,
29,Jay and The Americans,Come A Little Bit Closer,1964,,
30,Peter and Gordon,A World Without Love,1964,,
31,Honeycombs,Have I The Right?,1964,,
32,Serendipity Singers,Don't Let The Rain Come Down (Crooked Little Man),1964,,
33,Supremes,Baby Love,1964,,
34,Betty Everett and Jerry Butler,Let It Be Me,1964,,
35,Dusty Springfield,Wishin' And Hopin',1964,,
36,Lesley Gore,You Don't Own Me,1964,,
37,Dionne Warwick,Walk On By,1964,,
38,Animals,The House Of The Rising Sun,1964,,
39,Ronny and The Daytona,G.T.O.,1964,,
40,Beatles,Twist And Shout,1964,,
41,Johnny Rivers,Memphis,1964,,
42,Danny Williams,White On White,1964,,
43,Rip Chords,Hey Little Cobra,1964,,
44,Betty Everett,The Shoop Shoop Song (It's In His Kiss),1964,,
45,Dave Clark Five,Bits And Pieces,1964,,
46,Millie Small,My Boy Lollipop,1964,,
47,Major Lance,"Um, Um, Um, Um, Um, Um",1964,,
48,Jan and Dean,The Little Old Lady,1964,,
49,Gerry and The Pacemakers,Don't Let The Sun Catch You Crying,1964,,
50,Chad and Jeremy,A Summer Song,1964,,
51,Stan Getz and Astrud Gilberto,The Girl From Ipanema,1964,,
52,Beatles,Can't Buy Me Love,1964,,
53,Shangri-Las,Remember (Walkin' In The Sand),1964,,
54,Bobby Freeman,C'mon And Swim,1964,,
55,Beatles,Do You Want To Know A Secret,1964,,
56,Impressions,Keep On Pushing,1964,,
57,Four Tops,Baby I Need Your Loving,1964,,
58,Diane Renay,Navy Blue,1964,,
59,Bachelors,Diane,1964,,
60,Marketts,Out Of Limits,1964,,
61,Hondells,Little Honda,1964,,
62,Bobby Goldsboro,See The Funny Little Clown,1964,,
63,Dave Clark Five,Because,1964,,
64,Reflections,(Just Like) Romeo And Juliet,1964,,
65,Rick Nelson,For You,1964,,
66,New Christy Minstrels,Today,1964,,
67,Dave Clark Five,Can't You See That She's Mine,1964,,
68,Shangri-Las,Leader Of The Pack,1964,,
69,Joe Hinton,Funny,1964,,
70,Temptations,The Way You Do The Things You Do,1964,,
71,Dionne Warwick,Anyone Who Had A Heart,1964,,
72,Al Martino,I Love You More And More Every Day,1964,,
73,Roy Orbison,It's Over,1964,,
74,Four Seasons,Ronnie,1964,,
75,Trashmen,Surfin' Bird,1964,,
76,Tams,What Kind Of Fool (Do You Think I Am),1964,,
77,Dean Martin,The Door Is Still Open To My Heart,1964,,
78,Kinks,You Really Got Me,1964,,
79,Sammy Davis Jr.,The Shelter Of Your Arms,1964,,
80,Impressions,I'm So Proud,1964,,
81,Jelly Beans,I Wanna Love Him So Bad,1964,,
82,Roger Miller,Chug-a-lug,1964,,
83,Roger Miller,Dang Me,1964,,
84,Al Hirt,Cotton Candy,1964,,
85,Nancy Wilson,(You Don't Know) How Glad I Am,1964,,
86,Kingsmen,Money,1964,,
87,Searchers,Don't Throw Your Love Away,1964,,
88,Tommy Tucker,Hi-heel Sneakers,1964,,
89,Gerry and The Pacemakers,How Do You Do It!,1964,,
90,Ventures,Walk Don't Run '64,1964,,
91,Dave Clark Five,Do You Love Me,1964,,
92,"Robert Maxwell, His Harp and Orch.",Shangri-La,1964,,
93,Gene Simmons,Haunted Houses,1964,,
94,Jimmy Hughes,Steal Away,1964,,
95,Beatles,I Saw Her Standing There,1964,,
96,Andy Williams,A Fool Never Learns,1964,,
97,Billy J. Kramer and The Dakotas,Bad To Me,1964,,
98,Bobby Vinton,There! I've Said It Again,1964,,
99,Kingsmen,Louie Louie,1964,,
100,Searchers,Needles And Pins,1964,,
1,Sam The Sham and The Pharaohs,Wooly Bully,1965,,
2,Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch),1965,,
3,Rolling Stones,(I Can't Get No) Satisfaction,1965,,
4,We Five,You Were On My Mind,1965,,
5,Righteous Brothers,You've Lost That Lovin' Feelin',1965,,
6,Petula Clark,Downtown,1965,,
7,Beatles,Help!,1965,,
8,Herman's Hermits,Can't You Hear My Heartbeat,1965,,
9,Elvis Presley,Crying In The Chapel,1965,,
10,Temptations,My Girl,1965,,
11,Beach Boys,"Help Me, Rhonda",1965,,
12,Roger Miller,King Of The Road,1965,,
13,Jewel Aikens,The Birds And The Bees,1965,,
14,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1965,,
15,Jr. Walker and The All Stars,Shotgun,1965,,
16,Sonny and Cher,I Got You Babe,1965,,
17,Gary Lewis and The Playboys,This Diamond Ring,1965,,
18,Ramsey Lewis Trio,"The ""In"" Crowd",1965,,
19,Herman's Hermits,Mrs. Brown You've Got A Lovely Daughter,1965,,
20,Supremes,Stop! In The Name Of Love,1965,,
21,Righteous Brothers,Unchained Melody,1965,,
22,Herman's Hermits,Silhouettes,1965,,
23,Seekers,I'll Never Find Another You,1965,,
24,Jay and The Americans,"Cara, Mia",1965,,
25,Byrds,Mr. Tambourine Man,1965,,
26,Sounds Orchestral,Cast Your Fate To The Wind,1965,,
27,Barbara Mason,"Yes, I'm Ready",1965,,
28,Tom Jones,What's New Pussycat?,1965,,
29,Barry McGuire,Eve Of Destruction,1965,,
30,McCoys,Hang On Sloopy,1965,,
31,Beatles,Ticket To Ride,1965,,
32,Bert Kaempfert and His Orch.,Red Roses For A Blue Lady,1965,,
33,James Brown and The Famous Flames,Papa's Got A Brand New Bag,1965,,
34,Wayne Fontana and The Mindbenders,Game Of Love,1965,,
35,Shirley Ellis,The Name Game,1965,,
36,Petula Clark,I Know A Place,1965,,
37,Supremes,Back In My Arms Again,1965,,
38,Barbara Lewis,Baby I'm Yours,1965,,
39,Kingsmen,The Jolly Green Giant,1965,,
40,Patti Page,"Hush, Hush, Sweet Charlotte",1965,,
41,Bob Dylan,Like A Rolling Stone,1965,,
42,Freddie and The Dreamers,I'm Telling You Now,1965,,
43,Gerry and The Pacemakers,Ferry Cross The Mersey,1965,,
44,Righteous Brothers,Just Once In My Life,1965,,
45,Johnny Rivers,Seventh Son,1965,,
46,Herman's Hermits,"I'm Henry VIII, I Am",1965,,
47,Horst Jankowski,A Walk In The Black Forest,1965,,
48,Yardbirds,For Your Love,1965,,
49,Beach Boys,California Girls,1965,,
50,Moody Blues,Go Now,1965,,
51,Shirley Bassey,Goldfinger,1965,,
52,Billy Joe Royal,Down In The Boondocks,1965,,
53,Glenn Yarbrough,Baby The Rain Must Fall,1965,,
54,Dave Clark Five,Catch Us If You Can,1965,,
55,Beatles,Eight Days A Week,1965,,
56,Beau Brummels,Just A Little,1965,,
57,Ian Whitcomb,You Turn Me On,1965,,
58,Marvin Gaye,I'll Be Doggone,1965,,
59,Gary Lewis and The Playboys,Save Your Heart For Me,1965,,
60,Kinks,Tired Of Waiting For You,1965,,
61,Gary Lewis and The Playboys,Count Me In,1965,,
62,Kinks,All Day And All Of The Night,1965,,
63,Jackie DeShannon,What The World Needs Now Is Love,1965,,
64,Tom Jones,It's Not Unusual,1965,,
65,Sir Douglas Quintet,She's About A Mover,1965,,
66,Sam Cooke,Shake,1965,,
67,Herman's Hermits,Wonderful World,1965,,
68,Martha and The Vandellas,Nowhere To Run,1965,,
69,Yardbirds,Heart Full Of Soul,1965,,
